日期,前一天涨幅,cum_return_5d,cum_return_20d,rsi_14,close_above_ma5,close_above_ma20,close_above_ma60,plus_di_14,minus_di_14,adx_14,bb_upper_20_2,bb_middle_20_2,bb_lower_20_2,is_above_bb_upper,is_below_bb_lower,atr_14,ma_volume_5,volume_up_strong,volume_down_strong,obv,consecutive_up_days,consecutive_down_days,consecutive_up_2d,consecutive_down_2d,consecutive_up_3d,consecutive_down_3d,consecutive_up_4d,consecutive_down_4d,consecutive_up_5d,consecutive_down_5d,consecutive_up_6d,consecutive_down_6d,consecutive_up_7d,consecutive_down_7d,price_slope_5d,ma20_slope_5d,price_ma20_slope_ratio,prev_close_above_ma5
2022/1/25,0.49,-0.069795329,-0.145971329,15.97263258,0,0,0,0,0,0,17062.83092,15615.6345,14168.43808,0,1,433.3087087,314396000,0,0,1.09702E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-212.328,-76.7837,2.765274401,0
2022/1/26,-2.48,-0.058153197,-0.140454106,19.78907274,0,0,0,0,0,0,17021.60002,15499.8395,13978.07898,0,0,460.8862142,330860000,0,0,1.10012E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-175.016,-94.1447,1.859010651,0
2022/1/27,0.17,-0.056804787,-0.150864016,18.6393323,0,0,0,0,0,0,16961.44473,15375.4445,13789.44427,0,0,458.9773856,339910000,0,0,1.09721E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-168.67,-107.6255,1.567193648,0
2022/1/28,-1.2,0.001122701,-0.120182481,31.58051542,1,0,0,0,0,0,16832.08087,15276.72,13721.35913,0,0,474.7537342,320786000,0,0,1.10013E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.242,-109.953,-0.029485326,0
2022/1/31,3.22,0.028978785,-0.085172989,40.33683687,1,0,0,0,0,0,16688.74837,15207.2185,13725.68863,0,0,477.0052363,297972000,1,0,1.10325E+11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,84.094,-105.867,-0.79433629,1
2022/2/1,3.29,0.061527501,-0.089814002,37.87987486,1,0,0,0,0,0,16484.55757,15133.114,13781.67043,0,0,451.3952048,288200000,0,0,1.10559E+11,3,0,1,0,1,0,0,0,0,0,0,0,0,0,174.112,-96.5041,-1.804192775,1
2022/2/2,0.6,0.068228066,-0.070025117,38.94052367,1,1,0,0,0,0,16315.4467,15076.1145,13836.7823,0,0,422.6158442,285564000,1,0,1.10857E+11,4,0,1,0,1,0,1,0,0,0,0,0,0,0,193.396,-84.745,-2.282093339,1
2022/2/3,0.8,0.035563528,-0.080565466,36.52188055,0,0,0,0,0,0,16231.87381,15012.5815,13793.28919,0,0,455.4070649,289250000,1,0,1.10547E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99.6,-72.5726,-1.372418792,1
2022/2/4,-4.22,0.016585712,-0.067934383,37.82409694,0,0,0,0,0,0,16132.32532,14959.031,13785.73668,0,0,445.3221229,278496000,0,0,1.10785E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.948,-63.5378,-0.754637397,0
2022/2/7,1.33,-0.02403207,-0.065477653,40.83505069,0,0,0,0,0,0,16053.80577,14907.984,13762.16223,0,0,424.5098399,256870000,0,0,1.10582E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-71.76,-59.8469,1.1990596,0
2022/2/8,-0.84,-0.01815285,-0.055551179,45.70486185,1,0,0,0,0,0,15962.50977,14864.614,13766.71823,0,0,407.8338612,252304000,0,0,1.10794E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-54.53,-53.7,1.015456238,0
2022/2/9,1.21,-0.005467729,-0.049681522,52.9152702,1,1,0,0,0,0,15827.58127,14825.256,13822.93073,0,0,394.9053464,236818000,0,0,1.11014E+11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-16.556,-50.1717,0.329986825,1
2022/2/10,2.1,0.014104438,-0.075413547,53.7601729,0,0,0,0,0,0,15629.59599,14765.283,13900.97001,0,0,398.2979669,226592000,1,0,1.10755E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40.906,-49.4597,-0.82705718,1
2022/2/11,-2.33,-0.029978189,-0.080137484,46.74976742,0,0,0,0,0,0,15523.91338,14703.194,13882.47462,0,0,421.8715713,236826000,0,1,1.10465E+11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-88.102,-51.1674,1.721838514,0
2022/2/14,-3.07,-0.020771039,-0.086025831,51.66463702,0,0,0,0,0,0,15357.59515,14636.044,13914.49285,0,0,403.0953618,246058000,0,1,1.10714E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.532,-54.388,1.112966095,0
2022/2/15,0.1,-0.008558333,-0.038784387,55.71934053,1,1,0,0,0,0,15275.4901,14606.547,13937.6039,0,0,396.8079802,248164000,0,0,1.10936E+11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-25.242,-51.6134,0.489059043,0
2022/2/16,2.47,-0.030107007,-0.029519187,57.97603457,1,1,0,0,0,0,15220.27086,14584.337,13948.40314,0,0,377.0335829,243100000,0,0,1.10741E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-90.664,-48.1838,1.881628265,1
2022/2/17,-0.12,-0.036305798,-0.045446524,46.2233544,0,0,0,0,0,0,15199.44156,14550.601,13901.76044,0,0,386.5237718,236516000,0,0,1.10515E+11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-106.78,-42.9364,2.486934163,1
2022/2/18,-2.96,-0.017139241,-0.029702737,36.58832957,0,0,0,0,0,0,15220.56142,14529.158,13837.75458,0,0,375.9152689,231766000,0,1,1.10249E+11,0,3,0,1,0,1,0,0,0,0,0,0,0,0,-48.86,-34.8072,1.403732561,0
2022/2/22,-1.14,-0.027897641,-0.044043315,33.49458366,0,0,0,0,0,0,15248.85941,14497.2055,13745.55159,0,0,377.5718997,233548000,0,1,1.09991E+11,0,4,0,1,0,1,0,1,0,0,0,0,0,0,-79.612,-27.7677,2.867072174,0
2022/2/23,-0.99,-0.076014204,-0.045210586,28.10000618,0,0,0,0,0,0,15325.78982,14465.221,13604.65218,0,1,398.3423131,240412000,0,1,1.09734E+11,0,5,0,1,0,1,0,1,0,1,0,0,0,0,-222.278,-28.2652,7.864016529,0
2022/2/24,-2.6,-0.043069399,-0.013976812,42.5828031,1,0,0,0,0,0,15334.41816,14455.3165,13576.21484,0,0,468.3846713,276848000,0,1,1.10112E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-125.794,-25.8041,4.874961731,0
2022/2/25,3.44,0.001229207,0.013286334,42.92456926,1,0,0,0,0,0,15327.35779,14464.619,13601.88021,0,0,451.6280485,279972000,0,0,1.10353E+11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3.484,-17.1964,-0.202600544,1
2022/2/28,1.53,0.016293897,-0.014998675,45.23054829,1,0,0,0,0,0,15322.47476,14453.779,13585.08324,0,0,429.709642,288554000,1,0,1.10662E+11,3,0,1,0,1,0,0,0,0,0,0,0,0,0,45.654,-15.0758,-3.028297006,1
2022/3/1,0.34,0.009766029,-0.061892626,39.56757761,1,0,0,0,0,0,15267.8685,14407.576,13547.2835,0,0,421.0363564,289474000,0,0,1.10399E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27.092,-17.9259,-1.511332764,1
2022/3/2,-1.63,0.054351664,-0.051664882,38.31303763,1,0,0,0,0,0,15181.51319,14368.7765,13556.03981,0,0,408.9021756,284894000,0,0,1.10633E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146.852,-19.2889,-7.613290545,1
2022/3/3,1.7,0.004332124,-0.072955678,39.95324512,0,0,0,0,0,0,15052.46129,14313.55,13574.63871,0,0,404.7085522,255638000,0,0,1.10402E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.108,-28.3533,-0.427040239,1
